cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
CHARLS,conditional_fdfle_gap,500,1000,-9.18840842266204,-3.03809643666579,-9.19554383561515,-3.17777606932927,0.139679632663473,0.0220254793568019,TRUE
CHARLS,population_contribution_initial_state,500,1000,-1.16471261462794,-0.493626862889293,-1.1650124589229,-0.49252360314825,0.00110325974104286,0.00208643462854834,FALSE
CHARLS,population_contribution_onset,500,1000,-4.49104331054444,-1.38119433310611,-4.40564197999595,-1.42106964817903,0.0854013305484864,0.0419747393239215,FALSE
CHARLS,population_contribution_post_difficulty_mortality,500,1000,-1.42512379492127,0.507415425866381,-1.45842253701014,0.497407418972587,0.0332987420888617,0.0119083640803351,FALSE
CHARLS,population_contribution_pre_difficulty_mortality,500,1000,-1.14150912983742,0.340169321360262,-1.20969260091282,0.356175026012641,0.0681834710754081,0.0537651933535973,FALSE
CHARLS,population_contribution_recovery,500,1000,-2.79849088786396,0.560528023834588,-2.8526401939782,0.44803168445236,0.112496339382228,0.0176773200781581,TRUE
CHARLS,population_contribution_relapse,500,1000,-3.06578096513677,0.772816106156251,-3.11765339574802,0.731811335998516,0.051872430611243,0.00282316145511933,FALSE
CHARLS,population_fdfle_gap,500,1000,-9.92916992830659,-3.48459477744153,-9.84092121102637,-3.62133149041321,0.136736712971679,0.0361736771006371,TRUE
CHARLS,population_recovery_relapse,500,1000,-4.97450273291939,0.500274346998334,-5.01573192623368,0.422774545969388,0.0774998010289459,0.00666922212928034,FALSE
ELSA,conditional_fdfle_gap,250,500,-5.68997500289744,-3.52959688812868,-5.67776059768291,-3.48693699443558,0.0426598936930982,0.0138968232921355,FALSE
ELSA,population_contribution_initial_state,250,500,-1.48598504418581,-1.07112984799643,-1.49624557146663,-1.06764652782785,0.0102605272808269,0.0320669111454904,FALSE
ELSA,population_contribution_onset,250,500,-2.25420907499922,-1.0885646840339,-2.18624550250568,-1.11999888649792,0.0679635724935421,0.0932221246616736,FALSE
ELSA,population_contribution_post_difficulty_mortality,250,500,-0.834922759530909,-0.143747763860604,-0.839747342693995,-0.103604523631839,0.040143240228765,0.0610857325880597,FALSE
ELSA,population_contribution_pre_difficulty_mortality,250,500,-1.21357082033585,-0.159018401095951,-1.17848057449246,-0.144915834688718,0.0350902458433833,0.0203061101331064,FALSE
ELSA,population_contribution_recovery,250,500,-1.48350570420167,-0.560723157518675,-1.38900577835299,-0.534155428808273,0.0944999258486743,0.0794667712008911,FALSE
ELSA,population_contribution_relapse,250,500,-1.24337841704586,-0.528014235839433,-1.29087253886032,-0.522783421999432,0.047494121814464,0.0686442946489693,FALSE
ELSA,population_fdfle_gap,250,500,-6.98193250911305,-4.96773297724025,-6.98372686517614,-4.87619601919026,0.0915369580499883,0.0442846728866828,FALSE
ELSA,population_recovery_relapse,250,500,-2.48674142330734,-1.32404587084015,-2.51122087685252,-1.28773900926414,0.036306861576014,0.0496830535306656,FALSE
HRS,conditional_fdfle_gap,250,500,-6.03101523831191,-4.98524645889374,-6.05046287354987,-4.90762752372217,0.0776189351715724,0.0849348687229239,FALSE
HRS,population_contribution_initial_state,250,500,-1.86906327674626,-1.5053143375157,-1.85945289561068,-1.50710165794203,0.00961038113557966,0.0323475564817711,FALSE
HRS,population_contribution_onset,250,500,-2.59862714729913,-1.96113937931028,-2.63466794187701,-1.93432636217578,0.0360407945778825,0.0897473654772732,FALSE
HRS,population_contribution_post_difficulty_mortality,250,500,-0.345425238792613,-0.0385469908620923,-0.352657504672513,-0.02685516711891,0.0116918237431822,0.058084572889133,FALSE
HRS,population_contribution_pre_difficulty_mortality,250,500,-1.37192306184206,-0.815830087600144,-1.35744843542351,-0.828036410155697,0.0144746264185411,0.0503973232579986,FALSE
